Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Luxembourg,0.368041998,2.273679116,3.410683411,2.662841655,1.734039635,0.628543985,0.474743161,0.290833333
Latvia,3.534106729,-1.08463595,4.370735599,2.257789244,-0.029454778,0.620490637,0.174242244,0.140633335
"Macao SAR, China",1.169351365,2.809766066,5.804468001,6.108311726,5.506786663,6.045271806,4.559202881,2.370161348
St. Martin (French part),,,,,,,,
Morocco,0.971862999,0.993557401,0.90692491,1.287122401,1.880654667,0.442310054,1.557907113,1.635311143
Monaco,,,,,,,,
Moldova,-0.062718597,7.483850864,7.687251034,4.546334274,4.597878974,5.088785546,9.676240331,6.35930898
Madagascar,8.954218024,9.247321736,9.482540486,5.713844342,5.826429445,6.080408111,7.404191742,6.654801865
Maldives,4.530176591,6.149885368,11.27341461,10.88469566,3.805516819,2.12011311,0.953206659,0.502509414
Middle East & North Africa,2.795512836,3.749157276,4.524211505,3.731209508,2.960134497,2.346268657,1.494759286,1.844390956
Mexico,5.297355842,4.156727227,3.407378246,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847
Marshall Islands,,,,,,,,
Middle income,4.201044769,4.509236918,6.107427146,4.5152,4.343371313,3.561794364,2.891336173,2.651383693
North Macedonia,-0.739633963,1.50997522,3.904754221,3.316055667,2.784383898,-0.281018199,-0.301279047,-0.237052783
Mali,2.463751886,1.108926907,2.955643952,5.323128471,-0.606736356,0.883814547,1.450690576,-1.799647071
Malta,2.084327461,1.515635136,2.962985282,2.375820578,1.180284364,0.310306472,1.100548264,0.642702772
Myanmar,1.472343114,7.718381959,5.021460146,1.467583227,5.483386189,5.046410888,9.485472555,6.964739177
Middle East & North Africa (excluding high income),2.753934851,3.950078759,4.971485717,6.089096416,4.037629336,2.898931704,1.494759286,2.186861615
Montenegro,3.466723732,0.65494657,3.450143112,4.14524725,2.205892681,-0.710514052,1.548691582,-0.271385023
Mongolia,7.586717549,10.07991843,8.409175072,14.31760204,10.48814505,12.22544812,6.580057365,1.05535328
Northern Mariana Islands,,,,,,,,
Mozambique,,,,,,,,
Mauritania,2.220920324,6.283540874,5.686319596,4.902427272,4.129101738,3.534368561,3.254726881,1.471710456
